sku,product_name,brand
G58134,TÊNIS ADIDAS NIZZA LO x WALES BONNER,adidas
S42621,TÊNIS ADIDAS NIZZA LO x WALES BONNER,adidas
FY1787,TÊNIS ADIDAS SUPERSTAR x PHARELL WILLIAMS,adidas
FZ4524,TÊNIS ADIDAS Y-3 IDOSO BOOST,adidas
FZ4525,TÊNIS ADIDAS Y-3 IDOSO BOOST,adidas
EG6849,TÊNIS ADIDAS SL 72,adidas
FV9797,TÊNIS ADIDAS SL 7600,adidas
FV9796,TÊNIS ADIDAS SL 7600,adidas
EF5337,TÊNIS ADIDAS YUNG-1,adidas
EF5335,TÊNIS ADIDAS YUNG-1,adidas
EF4470,TÊNIS ADIDAS LXCON 94,adidas
FW4868,TÊNIS ADIDAS DAY JOGGER,adidas
EH0251,TÊNIS ADIDAS ZX TORSION,adidas
GY1208,TÊNIS ADIDAS ZX 2K BOOST,adidas
FW0482,TÊNIS ADIDAS ZX 2K BOOST,adidas
FY6751,TÊNIS ADIDAS CAMPUS 80S SH,adidas
FV8500,TÊNIS ADIDAS ZX 2K 4D,adidas
FV9028,TÊNIS ADIDAS ZX 2K 4D,adidas
FW2003,TÊNIS ADIDAS ZX 2K 4D,adidas
FX6849,TÊNIS ADIDAS PRO MODEL x 424 ,adidas
GX7690,TÊNIS ADIDAS STAN SMTIH KYNE,adidas
FY6725,TÊNIS ADIDAS TYPE O-6 x OAMC ,adidas
FZ4645,TÊNIS ADIDAS ZX 5000 TORSION,adidas
H03075,TENIS ADIDAS MIXING ERAS 120,adidas
H03080,TENIS ADIDAS MIXING ERAS 120,adidas
EF4343,TÊNIS ADIDAS ZX TORSION ,adidas
EF4344,TÊNIS ADIDAS ZX TORSION ,adidas
FY4492,TÊNIS ADIDAS ROD LAVER - CNSRTM,adidas
GW5270,TÊNIS ADIDAS SUPERSTAR x LEGO,adidas
GY5993,TÊNIS ADIDAS ZX 5K BOOST 5K89,adidas
FX8528,TÊNIS ADIDAS ZX 8000 DEADHYPE,adidas
FX2784,TÊNIS ADIDAS SUPERSTAR X NINJA ,adidas
GY1209,TÊNIS ADIDAS ZX 2K BOOST,adidas
FV2928,TÊNIS ADIDAS ZX 2K BOOST,adidas
FX8835,TÊNIS ADIDAS ZX 2K BOOST,adidas
S42836,TÊNIS ADIDAS 4D FUSIO ALUMINIUM,adidas
FX1471,TÊNIS ADIDAS SAMBA x JONAH HILL,adidas
FV3018,TÊNIS ADIDAS SUPERSTAR LACELESS,adidas
FX6131,TÊNIS ADIDAS 4D FUSIO BLACK PINK,adidas
FY5717,TÊNIS ADIDAS C.G. ZX 2K PHORMAR I,adidas
FZ0345,TÊNIS ADIDAS  ZX 6000 JUVENTUS FC ,adidas
FY7695,TÊNIS ADIDAS CG KONTUUR III,adidas
FZ4510,TÊNIS ADIDAS Y-3 NOTOMA SANDAL,adidas
FY3609,TÊNIS ADIDAS 4D FUSIO ULTRA PURPLE,adidas
FY6728,TÊNIS ADIDAS TYPE O-6 x OAMC ,adidas
FY6729,TÊNIS ADIDAS TYPE O-6 x OAMC ,adidas
FX8593,TÊNIS ADIDAS ZX 8000 x ATMOS G-SNK,adidas
FY4491,TÊNIS ADIDAS ROD LAVER - CNSRTM,adidas
FW7456,TÊNIS ADIDAS SAMBA x JONAH HILL,adidas
FW7458,TÊNIS ADIDAS SAMBA x JONAH HILL,adidas
FY5929,TÊNIS ADIDAS 4D FUSIO SCREAMING ORANGE,adidas
FY6753,TÊNIS ADIDAS CAMPUS 80S SH x RECOUTURE,adidas
FX4153,TÊNIS ADIDAS RESPONSE HOVERTURF GF6100AM,adidas
FY4721,TÊNIS ADIDAS STREETBALL FORUM x SANKUANZ,adidas
FZ4410,TÊNIS ADIDAS ZX 5000 VIEUX LYON,adidas
FY3504,TÊNIS ADIDAS SOLUTION STREETBALL x SANKUANZ,adidas
FX9113,TÊNIS ADIDAS ZX 2K BOOST STAR-WARS HAN SOLO,adidas
FY6754,TÊNIS ADIDAS CAMPUS 80S SH x RECOUTURE,adidas
FY6755,TÊNIS ADIDAS CAMPUS 80S SH x RECOUTURE,adidas
FY9148,TÊNIS ADIDAS MARATHON FREE HIKER x HUMAN MADE,adidas
GY8439,TÊNIS ADIDAS McCARTEN x SIMPSONS NED FLANDERS,adidas
FZ4416,TÊNIS ADIDAS ZX 5000 UNIVERSITY MIAMI (THE U),adidas
FW1485,TÊNIS ADIDAS ZX 1000 C,adidas
FX4172,TÊNIS ADIDAS ZX 2K BOOST,adidas
FZ4402,TÊNIS ADIDAS ZX 9000 YUCATAN MOC,adidas
FV0999,TÊNIS ADIDAS TORSION TRDC,adidas
GX3823,TÊNIS ADIDAS SUPERSTAR x SEAN WOTHERSPOON SUPEREARTH,adidas
CG6465,TÊNIS ADIDAS A.R. TRAINER,adidas
EH1575,TÊNIS ADIDAS Y-3 YUNU,adidas
GZ8500,TÊNIS ADIDAS ZX 0000 EVOLUTION,adidas
EH1400,TÊNIS ADIDAS Y-3 AFY S-97,adidas
FU9180,TÊNIS ADIDAS Y-3 RHISU RUN,adidas
EF7236,TÊNIS ADIDAS CONSORTIUM NOVATURBO H6100LT ,adidas
FZ4324,TÊNIS ADIDAS Y-3 YUNU,adidas
FY7896,TÊNIS ADIDAS SAHALE X,adidas
FW6361,TÊNIS ADIDAS FYW SECANT,adidas
FY7897,TÊNIS ADIDAS SAHALE X,adidas
FZ0432,TÊNIS ADIDAS FYW SECANT,adidas
CQ1868,Tênis Crazy 1A//D Cinza,adidas
F33900,Tênis Adidas X_Plr Masculino,adidas
AA4079-015,Tênis Nike Lunarsolo Masculino,Nike
DH0952-001,Tênis Nike Dunk Low SE Masculino,Nike
CG6707,Tênis adidas Superstar TD Infantil,adidas
921733-013,Tênis Nike Air Max 97 Feminino,Nike
749794-410,Tênis Nike MD Runner 2 Masculino,Nike
CK2571-400,Tênis Nike Zoom Gravity 2 Masculino,Nike
CD5007-001,Tênis Nike Lebron XVII Low Masculino,Nike
AH6789-601,Tênis Nike Air Max 270 Feminino,Nike
CT1270-001,Tênis Nike Air Vapormax Flyknit 3 Masculino,Nike
EE4124,Tênis adidas Pulseboost HD SUMMER.RDY Masculino,adidas
AQ0070-500,Tênis Nike Epic React Flyknit Feminino,Nike
GZ7924,Tênis adidas NMD_R1 Masculino,adidas
AQ4312-401,Tênis Nike Air Max Dia Feminino,Nike
B28067,Tênis adidas FLB Runner Feminino,adidas
AA1626-008,Tênis Nike Legend React Feminino,Nike
AQ4137-600,Tênis Nike Air Max 97 SE Feminino,Nike
FV9996,Tênis adidas ZX 2K Boost Masculino,adidas
CK2562-100,Tênis Nike Legend React 3 Feminino,Nike
FY8774,Tênis adidas Response Super Feminino,adidas
FV3687,Tênis adidas Superstar J GS Infantil,adidas
